0 0 0
100 100 2484
200 200 9538
300 300 22160
400 400 38808
500 500 57274
600 600 86622
700 700 118044
800 800 151075
900 900 196724
1000 1000 246968
1100 1100 305563
1200 1200 357474
1300 1300 418794
1400 1400 481574
1500 1500 563833
1600 1600 639312
1700 1700 691298
1800 1800 807614
1900 1900 867723
2000 2000 965657
2100 2100 1090522
2200 2200 1172932
2300 2300 1267988
2400 2400 1418147
2500 2500 1560240
2600 2600 1685194
2700 2700 1808956
2800 2800 1899738
2900 2900 2042739
3000 3000 2203106
3100 3100 2353929
3200 3200 2523449
3300 3300 2643015
3400 3400 2784598
3500 3500 3080666
3600 3600 3173478
3700 3700 3326128
3800 3800 3453938
3900 3900 3747170
4000 4000 3863415
4100 4100 4197868
4200 4200 4330611
4300 4300 4481766
4400 4400 4723715
4500 4500 4959790
4600 4600 5061995
4700 4700 5465806
4800 4800 5548526
4900 4900 5779193
5000 5000 6122384
5100 5100 6377289
5200 5200 6624922
5300 5300 7035458
5400 5400 7034818
5500 5500 7465004
5600 5600 7662951
5700 5700 7867532
5800 5800 8136841
5900 5900 8419773
6000 6000 8803998
6100 6100 9080169
6200 6200 9293321
6300 6300 9627001
6400 6400 9962333
6500 6500 10398461
6600 6600 10651647
6700 6700 11074124
6800 6800 11452672
6900 6900 11580993
7000 7000 11997551
7100 7100 12338956
7200 7200 12478545
7300 7300 13048316
7400 7400 13519763
7500 7500 13746381
7600 7600 14190444
7700 7700 14584342
7800 7800 14968564
7900 7900 15292276
8000 8000 15614482
8100 8100 16081954
8200 8200 16493577
8300 8300 16808314
8400 8400 17435344
8500 8500 17610392
8600 8600 17975718
8700 8700 18492817
8800 8800 18940681
8900 8900 19165877
9000 9000 19901871
9100 9100 20309012
9200 9200 21051952
9300 9300 21298523
9400 9400 21567283
9500 9500 22478458
9600 9600 22535556
9700 9700 23418579
9800 9800 23651279
9900 9900 23851456
10000 10000 24390289
